trip_id,trip_date,contractor_id,contractor_name,trip_status,scheduled_pickup,actual_pickup,pickup_delay_minutes,valid_pickup,on_time_flag,late_flag,early_flag,cancelled_flag,completed_flag,passenger_count,distance_miles,missing_actual_pickup,missing_actual_dropoff,missing_driver,missing_vehicle
1,2026-08-26,5,CityRide Partners,Completed,2026-08-26 17:20:00,2026-08-26 17:19:00,-1,1,1,0,0,0,1,23,5.2,0,0,0,0
2,2026-07-14,6,Regional Access Transit,Completed,2026-07-14 18:50:00,2026-07-14 18:36:00,-14,1,0,0,1,0,1,34,33.1,0,0,0,0
3,2026-07-26,4,MetroLink Operations,Completed,2026-07-26 15:20:00,2026-07-26 15:22:00,2,1,1,0,0,0,1,13,16.5,0,0,0,0
4,2026-07-14,3,Delaware Valley Transport,Cancelled,2026-07-14 13:00:00,,,0,,,,1,0,48,12.0,1,1,0,0
5,2026-08-22,4,MetroLink Operations,Completed,2026-08-22 19:00:00,2026-08-22 18:58:00,-2,1,1,0,0,0,1,47,24.2,0,0,0,0
6,2026-08-29,3,Delaware Valley Transport,Completed,2026-08-29 13:30:00,2026-08-29 13:39:00,9,1,1,0,0,0,1,37,41.1,0,0,0,0
7,2026-08-16,5,CityRide Partners,Completed,2026-08-16 08:20:00,2026-08-16 08:20:00,0,1,1,0,0,0,1,18,30.0,0,0,1,0
8,2026-08-21,2,Keystone Mobility,Completed,2026-08-21 08:00:00,2026-08-21 08:08:00,8,1,1,0,0,0,1,4,25.3,0,0,0,0
9,2026-06-07,6,Regional Access Transit,No Show,2026-06-07 09:30:00,,,0,,,,0,0,14,33.1,1,1,0,0
10,2026-07-28,4,MetroLink Operations,Completed,2026-07-28 14:45:00,2026-07-28 15:19:00,34,1,0,1,0,0,1,15,9.4,0,0,0,0
11,2026-06-21,1,Liberty Transit Services,Completed,2026-06-21 18:50:00,2026-06-21 18:39:00,-11,1,0,0,1,0,1,42,34.3,0,0,0,0
12,2026-07-25,2,Keystone Mobility,Completed,2026-07-25 12:15:00,2026-07-25 12:29:00,14,1,1,0,0,0,1,19,30.1,0,0,0,0
13,2026-08-04,3,Delaware Valley Transport,Completed,2026-08-04 20:50:00,2026-08-04 21:01:00,11,1,1,0,0,0,1,17,25.3,0,0,0,0
14,2026-06-23,7,Independence Transportation,Completed,2026-06-23 21:50:00,2026-06-23 22:17:00,27,1,0,1,0,0,1,20,29.0,0,0,0,0
15,2026-06-21,7,Independence Transportation,Completed,2026-06-21 18:50:00,2026-06-21 18:43:00,-7,1,0,0,1,0,1,0,28.5,0,0,0,0
16,2026-07-30,5,CityRide Partners,Completed,2026-07-30 06:20:00,2026-07-30 06:59:00,39,1,0,1,0,0,1,44,21.6,0,0,0,0
17,2026-08-20,1,Liberty Transit Services,Completed,2026-08-20 10:30:00,2026-08-20 11:02:00,32,1,0,1,0,0,1,32,30.4,0,0,0,0
